ID,Issue,Status,Priority,Date Submitted
TICKET-1044,Inventory management system errors,In Progress,Low,2023-09-05
TICKET-1043,Mobile application not syncing data,Open,High,2023-06-07
TICKET-1042,Software application crashing on startup,Open,High,2023-06-02
TICKET-1041,Employee unable to access shared files,Open,Low,2023-08-22
TICKET-1040,Email server downtime,Closed,Low,2023-10-10
TICKET-1039,VPN connection problems for remote employees,In Progress,Low,2023-09-30
TICKET-1038,File server running out of storage space,Open,Medium,2023-11-17
TICKET-1037,System updates causing compatibility issues,Open,High,2023-08-21
TICKET-1036,Security vulnerability identified,Open,Low,2023-08-27
TICKET-1035,VPN connection problems for remote employees,Closed,High,2023-09-02
TICKET-1034,Security vulnerability identified,Closed,Medium,2023-09-30
TICKET-1033,File server running out of storage space,In Progress,Medium,2023-10-09
TICKET-1032,VoIP phone system issues,Closed,Low,2023-10-04
TICKET-1031,Inventory management system errors,Open,Medium,2023-10-30
TICKET-1030,System updates causing compatibility issues,In Progress,High,2023-10-26
TICKET-1029,VoIP phone system issues,Open,Low,2023-08-01
TICKET-1028,Hardware malfunction in the server room,Open,High,2023-10-16
TICKET-1027,System updates causing compatibility issues,Closed,High,2023-10-27
TICKET-1026,VoIP phone system issues,In Progress,Medium,2023-11-17
TICKET-1025,Network connectivity issues in the office,Closed,Medium,2023-08-08
TICKET-1024,Website performance degradation,Closed,Medium,2023-06-22
TICKET-1023,Hardware malfunction in the server room,In Progress,Medium,2023-08-30
TICKET-1022,Network connectivity issues in the office,Open,Medium,2023-06-20
TICKET-1021,Mobile application not syncing data,Open,Low,2023-08-07
TICKET-1020,Security vulnerability identified,In Progress,High,2023-10-17
TICKET-1019,Database connection failure,Open,High,2023-06-04
TICKET-1018,Customer data not loading in CRM,In Progress,High,2023-08-11
TICKET-1017,Intrusion detection system alerts,In Progress,High,2023-10-20
TICKET-1016,Security vulnerability identified,Closed,Medium,2023-09-17
TICKET-1015,Printer not responding to print commands,In Progress,High,2023-09-13
TICKET-1014,Printer not responding to print commands,Closed,Low,2023-08-22
TICKET-1013,Network connectivity issues in the office,Open,Low,2023-07-22
TICKET-1012,Data backup failure,Open,High,2023-06-29
TICKET-1011,Employee unable to access shared files,Open,High,2023-06-23
TICKET-1010,Website performance degradation,Open,Low,2023-11-28
TICKET-1009,Hardware malfunction in the server room,Closed,Low,2023-10-04
TICKET-1008,Website performance degradation,Open,Medium,2023-11-24
TICKET-1007,Hardware malfunction in the server room,In Progress,Low,2023-10-09
TICKET-1006,Security vulnerability identified,In Progress,Medium,2023-10-21
TICKET-1005,Mobile application not syncing data,In Progress,Medium,2023-06-02
TICKET-1004,Software application crashing on startup,Closed,Medium,2023-11-23
TICKET-1003,Network connectivity issues in the office,Open,Medium,2023-11-15
TICKET-1002,File server running out of storage space,Open,Medium,2023-11-23
TICKET-1001,Data backup failure,Open,High,2023-06-29
